timestamp_issue,timestamp_target,turbine_id,horizon_min,y_pred,y_low,y_high,model_version,forecast_quality
2026-01-18,2026-01-18,TB04,10,403.14,247.12,637.89,2.0.0_xgboost,production
2026-01-18,2026-01-18,TB04,30,402.78,161.42,790.53,2.0.0_lightgbm,production
2026-01-18,2026-01-18,TB04,30,430.8,162.27,820.56,2.0.0_xgboost,production
2026-01-18,2026-01-18,TB04,60,406.81,98.19,918.23,2.0.0_lightgbm,production
2026-01-18,2026-01-18,TB04,60,424.32,102.35,938.01,2.0.0_xgboost,production
2026-01-18,2026-01-18,TB04,360,403.25,1.85,1180.23,2.0.0_lightgbm,reference_only
2026-01-18,2026-01-18,TB04,360,506.48,2.05,1310.23,2.0.0_xgboost,reference_only
2026-01-18,2026-01-18,TB04,1440,514.02,6.03,1437.06,2.0.0_lightgbm,reference_only
2026-01-18,2026-01-18,TB04,1440,514.23,0.89,1427.5,2.0.0_xgboost,reference_only
2026-01-18,2026-01-18,TB05,10,283.91,120.42,545.5,2.0.0_lightgbm,production
2026-01-18,2026-01-18,TB05,10,286.94,118.97,552.54,2.0.0_xgboost,production
2026-01-18,2026-01-18,TB05,30,320.43,59.48,750.49,2.0.0_lightgbm,production
2026-01-18,2026-01-18,TB05,30,328.41,54.77,763.4,2.0.0_xgboost,production
2026-01-18,2026-01-18,TB05,60,336.31,21.6,904.93,2.0.0_lightgbm,production
2026-01-18,2026-01-18,TB05,60,338.75,20.82,909.87,2.0.0_xgboost,production
2026-01-18,2026-01-18,TB05,360,409.56,0.0,1254.99,2.0.0_lightgbm,reference_only
2026-01-18,2026-01-18,TB05,360,327.77,0.0,1168.31,2.0.0_xgboost,reference_only
